,index,Lat,Lng,City,Country,Temp,Humidity,Date,Wind Speed,Cloudiness
0,1222,46.47287638232723,-76.29847546944957,maniwaki,ca,71.03,89,1527821929,8.75,92.0
1,975,58.66319555075739,177.52534874718424,beringovskiy,ru,34.85,95,1527821929,10.87,12.0
2,362,56.76476505903267,19.698615981939042,liepaja,lv,55.4,76,1527821400,4.7,0.0
3,638,-1.151515991167841,-36.84415202419501,caucaia,br,80.6,78,1527822000,13.87,75.0
4,474,27.122731809002502,97.6787966093093,tezu,in,72.74,76,1527821930,0.92,56.0
5,1048,52.39171956667428,-107.39887045345034,langham,ca,53.6,76,1527818400,9.17,90.0
6,126,-77.87434769430695,137.63657769449276,hobart,au,53.6,62,1527818400,9.17,40.0
7,120,-22.48960333581506,14.640854150314027,swakopmund,na,46.4,87,1527818400,8.05,0.0
8,533,34.79238768544522,103.82116158046449,linxia,cn,62.03,52,1527821931,2.48,20.0
9,1187,-50.24364847301522,131.6661180987702,mount gambier,au,54.2,81,1527821714,4.05,36.0
10,1275,30.706032599358636,-98.26798970234188,leander,us,89.6,52,1527819300,9.17,1.0
11,1336,51.54761395108744,52.62652397500682,tashla,ru,37.4,86,1527820200,15.66,75.0
12,36,56.8566000868625,105.78399715080076,ust-kut,ru,70.4,51,1527821932,9.53,56.0
13,1205,45.133343732001435,-78.32860690102575,bobcaygeon,ca,71.6,88,1527818400,9.17,75.0
14,1167,-23.965467813097106,-56.71347648500061,nueva germania,py,67.79,100,1527821932,3.38,100.0
15,399,-24.799044964028553,-44.943607967928585,ilhabela,br,71.12,100,1527821932,9.98,8.0
16,326,42.74652530882045,-87.80684958347258,racine,us,73.4,73,1527819300,1.81,1.0
17,772,-17.91945311601323,144.58169836630805,atherton,au,62.6,82,1527819600,4.7,48.0
18,60,5.785746316739576,-159.02159271251827,hilo,us,73.4,88,1527820080,9.17,90.0
19,870,-19.354341268255766,48.383887050061304,moramanga,mg,58.7,99,1527821937,2.26,92.0
20,1377,63.007518900142685,-0.3763574831544645,brae,gb,51.8,87,1527819600,6.93,68.0
21,31,40.220038201526535,-44.543250064222605,torbay,ca,35.6,100,1527818400,18.34,90.0
22,315,17.892633227129537,-24.007797573146206,pombas,cv,68.42,65,1527821938,6.85,20.0
23,75,24.621255120562523,-36.90902766800568,ponta do sol,cv,56.36,70,1527821938,4.38,80.0
24,1231,-5.838972487263831,39.73612760781327,kijini,tz,75.2,94,1527818400,15.68,75.0
25,663,44.80330519787819,141.91328570077258,makubetsu,jp,57.2,67,1527818400,2.24,75.0
26,49,-35.37076070714038,-107.99730227131522,rikitea,pf,76.16,100,1527821939,1.92,8.0
27,5,-7.274975138668168,-131.18975503795866,atuona,pf,79.85,100,1527821939,14,0.0
28,136,80.64850999043821,89.17382128003146,talnakh,ru,30.26,100,1527821940,4.38,44.0
29,306,89.96533708643994,110.76058369673495,saskylakh,ru,41.42,90,1527821940,17.25,92.0
30,816,35.73827026468513,-79.65460640001753,asheboro,us,77,88,1527819600,3.36,40.0
31,665,58.18366060711739,137.32893876575133,ayan,ru,48.8,96,1527821940,2.82,76.0
32,737,24.997390856247137,39.16987097375113,umm lajj,sa,70.58,100,1527821941,4.94,0.0
33,723,7.4406206325980975,-109.4070088654798,coahuayana,mx,75.89,61,1527821941,2.04,0.0
34,19,53.381754098907095,53.99605938502009,bizhbulyak,ru,40.43,82,1527821941,9.98,20.0
35,757,42.62209943420606,-5.302255041094156,leon,es,80.6,54,1527820500,6.93,1.0
36,282,26.33464364197367,-54.77020872116617,codrington,ag,64.28,66,1527821941,6.06,0.0
37,15,35.412538409475985,-78.29565320597169,smithfield,us,33.68,95,1527821942,6.73,0.0
38,1171,43.76725347291327,-94.99140951112177,fairmont,us,80.6,61,1527821700,6.93,40.0
39,1348,52.394143898713764,106.45106294996788,istok,ru,59,62,1527818400,8.95,0.0
40,694,1.5437655788212084,-62.40671138705575,boa vista,br,78.8,88,1527822000,3.36,20.0
41,347,45.04492723598369,-81.97754942789618,southampton,ca,59,100,1527817800,5.82,90.0
42,166,2.0983575331981825,85.36237395945403,hambantota,lk,80.12,100,1527821944,14.23,68.0
43,650,-33.71435760741582,-54.58912007754685,treinta y tres,uy,55.37,99,1527821944,15.23,92.0
44,446,-7.309578432683409,27.587716384390717,manono,cd,65.9,65,1527821944,3.83,0.0
45,1324,44.44031357800651,-97.41963849109192,madison,us,75.2,78,1527819300,3.36,1.0
46,232,20.58271796923573,39.955356700019564,mecca,sa,89.6,27,1527818400,4.05,0.0
47,512,34.95196154651147,164.0147726166398,severo-kurilsk,ru,43.67,91,1527821945,1.92,0.0
48,1119,35.265281440459376,-71.51685685109548,virginia beach,us,78.8,78,1527819300,8.05,75.0
49,171,-40.884286828825225,-6.336015174083542,jamestown,sh,56.9,51,1527821945,9.08,44.0
51,119,11.075486448313299,-115.82429799163336,cabo san lucas,mx,86,33,1527817680,9.17,5.0
53,525,70.7409765299031,156.3576633230598,srednekolymsk,ru,39.89,73,1527821946,8.75,88.0
54,599,5.023582756761314,-22.13919112412168,bubaque,gw,78.77,100,1527821946,14.79,0.0
55,677,70.12814752809982,17.54731792958617,finnsnes,no,48.2,66,1527819600,6.93,92.0
56,417,44.01384541583718,-17.486643460319158,muros,es,51.8,100,1527820200,1.12,90.0
57,333,64.83574974900708,119.23639723525747,verkhnevilyuysk,ru,71.48,30,1527821947,11.88,36.0
58,1499,49.5083738556211,92.82476620217432,ulaangom,mn,47.18,37,1527821947,2.48,0.0
59,1253,50.327229434296584,-8.382451401453096,clonakilty,ie,57.2,100,1527818400,1.12,75.0
60,1314,-27.31215553681973,-49.59452766619145,ituporanga,br,47.72,84,1527821948,3.15,12.0
61,935,44.22412474829585,7.202773993456191,borgo san dalmazzo,it,42.05,89,1527821948,2.26,0.0
62,301,0.004720477687740754,131.79515004488354,sorong,id,78.86,100,1527821948,3.15,88.0
63,30,64.51199387257168,65.00950357839258,muzhi,ru,36.02,100,1527821949,27.09,92.0
67,597,64.58725978490267,-149.32649005793695,college,us,55.4,81,1527820260,5.82,90.0
68,896,66.93837596164167,-177.40983485385573,egvekinot,ru,35.66,95,1527821949,3.71,56.0
69,1444,4.337077464937735,-29.911636512279387,touros,br,76.61,96,1527821950,10.98,100.0
70,327,28.43339118414471,80.86954542249742,tikapur,np,73.55,89,1527821950,2.71,64.0
71,1366,56.67856087846633,-117.67102112119665,grimshaw,ca,59,38,1527818400,12.75,75.0
72,569,36.595950114722456,-94.20688273120095,bella vista,us,55.01,95,1527821951,19.04,92.0
73,170,39.89556368874622,-11.098146925379893,peniche,pt,57.2,87,1527820200,2.24,20.0
74,793,-3.719408270807861,142.9914025963651,ambunti,pg,76.34,100,1527821951,1.92,92.0
75,1462,-12.714695081563121,-34.82469282056317,piacabucu,br,72.02,90,1527821951,6.17,92.0
76,1269,28.77888644117354,-73.376048719645,marsh harbour,bs,78.23,100,1527821899,9.42,12.0
77,1095,36.1070230448737,66.08016225306596,sar-e pul,af,69.5,30,1527821952,3.27,0.0
78,1448,14.07714046177729,48.819444712886195,qandala,so,79.04,71,1527821952,2.59,56.0
79,755,26.761454465624595,53.038088278658876,gerash,ir,73.4,35,1527818400,4.7,0.0
80,814,4.515996677722029,-88.30992367704816,puerto baquerizo moreno,ec,73.46,99,1527821952,10.76,0.0
81,1478,-4.343126308322951,-45.78436234583748,paulo ramos,br,76.52,78,1527821953,2.48,76.0
82,1057,-28.91318057327556,-48.85109520229253,jaguaruna,br,66.89,88,1527821870,9.98,20.0
83,1422,39.59635294182877,-74.90061831229588,hammonton,us,75.2,100,1527821760,5.82,90.0
84,114,30.31908385566878,-152.71827864468705,kahului,us,80.6,61,1527818160,21.92,40.0
86,70,-64.16288383613261,73.09037842907509,saint-philippe,re,75.2,73,1527819300,13.87,90.0
87,226,50.4804109680351,-100.3919634291764,rivers,ca,66.2,63,1527818400,12.75,90.0
88,890,58.40011608573917,-15.743774952727762,hofn,is,46.73,93,1527821954,5.84,0.0
89,74,5.164965278357329,113.82538265940747,miri,my,69.5,83,1527821954,3.71,24.0
90,927,14.346105976301729,-53.85783307926272,bathsheba,bb,78.8,78,1527818400,19.46,40.0
91,509,-40.42636575989258,176.48759218028556,takapau,nz,53.57,69,1527821955,4.61,56.0
92,1339,40.6472965997138,70.88676246707473,yaypan,uz,71.75,31,1527821955,3.6,0.0
93,1297,9.931753758547913,-80.77992521699927,palmas bellas,pa,80.6,88,1527818400,3.36,20.0
95,128,79.9608106620887,-67.91797737537297,narsaq,gl,42.8,70,1527821400,4.7,0.0
96,1052,54.79284237215026,43.91659724286657,pervomaysk,ru,41.15,46,1527821956,9.64,12.0
97,831,44.929554888225596,33.35320583405277,zaozerne,ua,63.38,42,1527821956,12.77,0.0
99,551,57.252271239656665,107.31577156471872,ulkan,ru,75.89,40,1527821957,3.38,20.0
100,915,49.56283536665305,-132.8831337166912,prince rupert,ca,55.4,54,1527818400,2.24,40.0
101,28,82.82234320549281,126.53191918164168,tiksi,ru,33.68,100,1527821837,4.5,44.0
103,706,46.36854234182778,22.723931593417745,avram iancu,ro,60.8,82,1527820200,2.24,20.0
104,1088,27.028952978857888,114.80743678445589,jian,cn,78.5,91,1527821958,11.65,92.0
105,223,6.078343117431217,93.05253680696228,sabang,id,87.14,86,1527821958,3.94,12.0
106,1217,35.88298868734849,-90.91886838925568,jonesboro,us,84.2,66,1527820500,4.7,24.0
107,367,-46.40529937721073,-67.71757642644975,comodoro rivadavia,ar,37.4,69,1527818400,6.93,0.0
108,131,-24.828104055906152,98.38799738763203,carnarvon,au,34.22,73,1527821958,15.9,0.0
111,283,7.76285119468902,-116.09929670554945,san patricio,mx,65.36,100,1527821959,2.26,92.0
112,940,3.1895425201488194,-71.04903437494464,mapiripan,co,76.25,91,1527821959,2.71,56.0
113,228,31.107551319517825,-22.18729686788288,los llanos de aridane,es,64.4,68,1527820200,10.29,0.0
114,65,58.69344268235997,-174.8314434251503,provideniya,ru,46.4,75,1527820200,3.6,75.0
115,761,-39.59609961463018,-59.54253515771089,necochea,ar,46.46,83,1527821960,10.31,64.0
116,827,-9.390958329828365,23.21934976053609,luau,ao,63.02,56,1527821960,4.16,8.0
118,1077,28.659742131890027,-68.1870680110756,hamilton,bm,75.2,78,1527818100,13.87,75.0
119,1450,7.921400634653551,21.994178466651988,ouadda,cf,64.82,94,1527821961,3.04,24.0
120,145,-72.60486052804859,99.0890911324538,albany,au,71.6,78,1527821460,10.29,90.0
